Loan Id,Amount,Term,Rate,Grade,Employment,Length,Income,Status,State,Debtincrat,Delinq2Yr,Openacc,RevolRatio,Totalpaid,Totalbal,Accopen24,Avgbal,Bcratio,Totallim,IncomeGroup,DefaultFlag,LengthGroup,RateGroup
92880,17000,60,388.06,B,Psr,9,"48,000.00",Non-Default,IL,27.18,1,10,Medium Utilization,"20,039.72",36445,2,3645,37.00,70707,Middle Income,0,6-10 Years,Middle Rate
92910,33800,36,108.06,B,Physician,10,"210,000.00",Non-Default,MI,9.49,3,10,Medium Utilization,"39,348.42",167993,1,20999,45.10,265957,High Income,0,6-10 Years,Low Rate
92911,28000,60,637.58,B,Payroll Manager,7,"81,000.00",Non-Default,CA,24.31,0,14,High Utilization,"33,038.46",410467,3,29319,95.10,487523,Middle Income,0,6-10 Years,High Rate
93074,15000,36,328.35,B,Sales,2,"140,000.00",Non-Default,TN,26.99,0,19,High Utilization,"17,676.35",149433,6,7865,90.00,194897,High Income,0,0-2 Years,Middle Rate
93090,15000,36,843.22,A,Asst. Prof/Grp Practice Administrator,2,"137,313.00",Non-Default,CA,3.89,0,5,Low Utilization,"16,714.12",65019,2,16255,63.70,87142,High Income,0,0-2 Years,High Rate
93130,2400,60,602.30,D,Sales,10,"35,000.00",Non-Default,IL,25.93,0,10,High Utilization,"3,104.95",29044,3,2904,95.70,37039,Low Income,0,6-10 Years,High Rate
93153,12000,36,387.15,B,Management Analyst Ii,10,"87,677.41",Non-Default,CA,11.59,0,7,High Utilization,"13,979.74",69636,3,9948,57.60,70722,Middle Income,0,6-10 Years,Middle Rate
93381,22750,60,103.49,C,Teacher,10,"62,000.00",Non-Default,WI,23.6,0,12,Medium Utilization,"24,099.28",46270,4,4206,48.70,90780,Middle Income,0,6-10 Years,Low Rate
93405,12850,36,392.81,C,Unknown,Unknown,"72,000.00",Non-Default,TX,23.6,2,10,Medium Utilization,"12,448.30",39488,1,3949,85.60,72521,Middle Income,0,10+ Years,Middle Rate
93427,8975,36,776.90,C,Legal Examiner,1,"54,000.00",Non-Default,MD,29.87,0,19,Medium Utilization,"9,435.99",336272,9,17699,43.90,374529,Middle Income,0,0-2 Years,High Rate
93474,8625,36,538.88,B,Machine Operator,1,"63,341.00",Non-Default,CA,23.23,0,20,Low Utilization,"9,881.54",267486,4,14078,33.80,353875,Middle Income,0,0-2 Years,Middle Rate
93525,21000,36,681.92,B,Foreman,5,"100,000.00",Non-Default,NY,14.98,0,9,Medium Utilization,"24,746.85",374077,2,46760,49.90,438779,High Income,0,3-5 Years,High Rate
93637,20000,36,528.92,C,Store Manager,2,"105,000.00",Non-Default,NY,10.89,0,12,High Utilization,"19,979.40",93081,3,8462,67.40,127464,High Income,0,0-2 Years,Middle Rate
93665,18000,36,271.90,C,"Section Manager, Control Division",10,"152,000.00",Non-Default,MA,20.47,0,12,High Utilization,"17,583.30",270680,4,24607,99.60,321953,High Income,0,6-10 Years,Middle Rate
93714,19575,36,395.67,B,"Sr. Director, Meeting Services",1,"68,000.00",Non-Default,GA,26.56,0,17,High Utilization,"23,412.27",165819,0,9754,73.20,237375,Middle Income,0,0-2 Years,Middle Rate
93770,7200,36,82.22,B,Retirement Program Specialist Ii,10,"62,352.00",Non-Default,CA,18.86,0,17,Medium Utilization,"7,932.71",205398,9,12082,42.70,228137,Middle Income,0,6-10 Years,Low Rate
93781,12000,60,616.54,B,Service Technician,10,"62,500.00",Non-Default,CA,15.21,0,12,Low Utilization,"11,336.64",11845,2,1185,41.00,42300,Middle Income,0,6-10 Years,High Rate
93855,33700,36,261.88,E,President,10,"93,000.00",Default,OH,18.48,0,10,Medium Utilization,"28,256.81",339858,3,37762,31.90,397552,High Income,1,6-10 Years,Low Rate
93909,18000,36,449.86,D,Director,10,"80,000.00",Non-Default,IN,23.3,1,9,High Utilization,"19,883.44",222578,2,27822,84.30,247465,Middle Income,0,6-10 Years,Middle Rate
93929,5375,36,450.88,C,Vp,7,"81,000.00",Non-Default,NC,16.67,0,16,Medium Utilization,"6,165.09",166456,5,10404,71.90,206169,Middle Income,0,6-10 Years,Middle Rate
93993,9175,36,735.47,D,Teacher,5,"65,000.00",Non-Default,TX,26.77,3,12,High Utilization,"11,575.44",182877,7,15240,72.90,214626,Middle Income,0,3-5 Years,High Rate
94045,16150,60,230.97,E,Correctional Officer,10,"36,000.00",Default,MD,38.57,0,10,Medium Utilization,"9,124.98",32962,3,3296,37.40,51820,Low Income,1,6-10 Years,Low Rate
94110,7200,36,764.83,B,Enlisted,10,"40,000.00",Default,TX,25.56,0,7,High Utilization,"3,612.60",31610,3,4516,15.10,42366,Low Income,1,6-10 Years,High Rate
94119,10325,36,786.00,C,Cna,1,"31,000.00",Default,VA,20.75,0,6,Medium Utilization,"6,328.71",15905,13,2651,58.50,19748,Low Income,1,0-2 Years,High Rate
94143,12000,36,254.03,A,Sergeant,10,"40,000.00",Non-Default,TX,16.59,0,7,High Utilization,"13,446.02",138727,0,19818,62.10,156042,Low Income,0,6-10 Years,Low Rate
94167,10000,36,293.10,A,Care Manager,1,"35,000.00",Non-Default,AZ,12.11,0,13,High Utilization,"11,345.95",9745,4,975,63.60,15700,Low Income,0,0-2 Years,Middle Rate
94208,11000,36,289.06,B,Project Administrator,10,"62,000.00",Non-Default,UT,20.67,1,15,Low Utilization,"12,199.01",174167,10,12441,24.30,186057,Middle Income,0,6-10 Years,Middle Rate
94279,12000,60,183.08,B,Rn,10,"89,190.00",Non-Default,OR,12.61,4,18,High Utilization,"14,148.29",233349,1,13726,91.70,258305,Middle Income,0,6-10 Years,Low Rate
94329,13625,36,441.19,D,Facilities Director,1,"38,000.00",Default,WV,6.91,0,13,High Utilization,"5,078.25",181239,5,13941,76.10,177384,Low Income,1,0-2 Years,Middle Rate
94397,18000,36,265.68,B,Quality Supervisor,10,"80,000.00",Non-Default,MI,28.02,0,10,High Utilization,"20,246.21",172057,3,17206,99.70,191431,Middle Income,0,6-10 Years,Low Rate
94420,20000,60,395.19,A,Unknown,2,"65,000.00",Non-Default,CA,14.33,0,15,Low Utilization,"22,271.03",204765,6,13651,33.10,261500,Middle Income,0,0-2 Years,Middle Rate
94456,5000,36,88.87,D,Shift Supervisor,1,"15,350.00",Non-Default,NJ,13.21,0,5,High Utilization,"6,441.39",25237,3,5047,65.20,27500,Low Income,0,0-2 Years,Low Rate
94462,12000,36,893.35,C,Marketing Manager,10,"76,000.00",Non-Default,OH,17.84,0,18,Low Utilization,"11,570.58",206414,4,11467,20.50,233720,Middle Income,0,6-10 Years,High Rate
94488,5000,36,521.70,E,Csr,1,"18,000.00",Non-Default,CA,11,0,11,Low Utilization,"6,412.41",4147,10,415,98.60,18726,Low Income,0,0-2 Years,Middle Rate
94694,11300,60,"1,149.99",C,Department Manger,1,"55,000.00",Default,SC,24.25,0,11,Medium Utilization,"10,906.94",207295,8,18845,50.30,231928,Middle Income,1,0-2 Years,High Rate
94700,6000,36,321.13,D,Office Manager/Admin,10,"45,000.00",Non-Default,MO,23.15,3,14,High Utilization,"7,584.61",69925,4,5827,98.00,113399,Low Income,0,6-10 Years,Middle Rate
94784,18000,36,329.91,D,Account 1,10,"50,000.00",Default,MA,14.55,0,3,High Utilization,"9,630.96",259522,5,86507,100.10,286046,Middle Income,1,6-10 Years,Middle Rate
94800,5300,36,578.68,A,Teacher,Unknown,"37,000.00",Non-Default,MS,24.89,0,11,Medium Utilization,"5,722.19",76020,4,10860,99.30,88710,Low Income,0,10+ Years,Middle Rate
94829,17000,36,349.65,G,Electrician Test Tech,9,"72,000.00",Default,UT,29.98,0,21,Medium Utilization,"8,940.54",254563,17,12122,91.90,292574,Middle Income,1,6-10 Years,Middle Rate
94840,15000,36,319.94,A,Manager,2,"100,098.00",Non-Default,OH,25.45,0,27,High Utilization,"15,846.97",311080,11,12443,87.00,331675,High Income,0,0-2 Years,Middle Rate
94974,17775,36,837.34,E,Purchasing Agent,3,"60,000.00",Default,SC,37.52,0,13,High Utilization,"14,263.11",39448,8,3586,95.80,53205,Middle Income,1,3-5 Years,High Rate
95043,7000,36,243.73,B,Eeo Compliance Manager,10,"92,500.00",Non-Default,IN,23.31,3,9,High Utilization,"8,226.30",40804,3,5101,66.60,61694,High Income,0,6-10 Years,Low Rate
95180,15000,36,203.62,A,Associate Attorney,2,"75,150.00",Non-Default,CA,21.96,0,11,Medium Utilization,"16,399.50",108387,5,9853,38.60,145805,Middle Income,0,0-2 Years,Low Rate
95194,35000,36,491.01,E,Fire Fighter,10,"96,000.00",Non-Default,NY,9.96,1,9,Medium Utilization,"40,725.30",295422,1,32825,50.80,349166,High Income,0,6-10 Years,Middle Rate
95316,18000,36,491.01,C,Unknown,10,"74,000.00",Non-Default,PA,2.58,0,4,High Utilization,"22,211.76",96472,2,24118,64.90,123900,Middle Income,0,6-10 Years,Middle Rate
95436,11500,36,478.19,A,Deputy,3,"65,000.00",Non-Default,WA,15.58,0,8,Low Utilization,"11,890.99",308170,5,44024,8.00,391585,Middle Income,0,3-5 Years,Middle Rate
95470,27450,36,"1,129.19",D,Chief Mri Technologist,10,"104,000.00",Non-Default,HI,34.01,0,12,High Utilization,"40,201.15",618311,5,51526,96.00,660450,High Income,0,6-10 Years,High Rate
95519,12000,36,521.80,D,Manager,10,"40,000.00",Non-Default,FL,31.74,0,12,Medium Utilization,"12,334.14",69444,3,6944,70.80,75225,Low Income,0,6-10 Years,Middle Rate
95521,35000,36,500.19,B,Coo,10,"225,000.00",Non-Default,MA,17.73,0,14,Low Utilization,"39,950.79",667222,7,60657,0.00,738325,High Income,0,6-10 Years,Middle Rate
95580,8000,36,371.59,C,Teacher,3,"52,196.00",Non-Default,IL,20.26,0,3,High Utilization,"8,660.42",24738,3,8246,96.30,34061,Middle Income,0,3-5 Years,Middle Rate
95685,22950,60,322.63,D,Engineering Technician Level 2,4,"50,000.00",Default,AL,26.26,0,12,Low Utilization,"1,123.30",136613,9,15179,33.30,164172,Middle Income,1,3-5 Years,Middle Rate
95857,20000,36,733.65,C,Analyst,2,"85,000.00",Non-Default,NY,7.3,0,10,High Utilization,"24,773.78",29380,3,2938,73.40,41071,Middle Income,0,0-2 Years,High Rate
95912,35000,36,477.86,C,Chanter An,10,"87,000.00",Non-Default,PA,18.37,0,16,Medium Utilization,"42,667.08",195049,5,12191,45.70,238058,Middle Income,0,6-10 Years,Middle Rate
95939,15000,60,153.66,C,Technical Account Manager,2,"75,000.00",Non-Default,NY,22.62,0,19,High Utilization,"19,511.06",183094,3,11443,75.70,232640,Middle Income,0,0-2 Years,Low Rate
95980,28000,36,85.66,A,Director Of Career Services,7,"86,000.00",Non-Default,CA,17.19,0,13,High Utilization,"30,889.59",83432,2,6418,74.80,103014,Middle Income,0,6-10 Years,Low Rate
95984,14000,60,366.37,A,Project Manager,1,"89,000.00",Non-Default,MA,13.82,0,9,Medium Utilization,"15,172.76",203701,4,22633,29.60,263771,Middle Income,0,0-2 Years,Middle Rate
96123,10000,60,233.30,B,Grow Foreman,1,"51,000.00",Non-Default,HI,30.24,0,13,Medium Utilization,"11,476.40",20086,5,1674,36.90,65853,Middle Income,0,0-2 Years,Low Rate
96170,12000,60,190.34,E,Web Developer,10,"45,000.00",Default,SC,21.63,0,8,High Utilization,"4,430.40",39267,3,4908,98.70,50979,Low Income,1,6-10 Years,Low Rate
96241,22300,36,377.41,B,Director Of Event And Program Developmen,10,"70,000.00",Non-Default,CA,31.51,0,20,Medium Utilization,"25,927.40",66017,7,3301,62.40,111389,Middle Income,0,6-10 Years,Middle Rate
96251,3200,36,258.10,F,Unknown,4,"85,000.00",Non-Default,CA,14.5,0,10,High Utilization,"4,332.82",657031,11,65703,97.90,673375,Middle Income,0,3-5 Years,Low Rate
96302,1200,36,677.52,C,Route Manager,1,"31,400.00",Default,FL,28.36,0,12,Medium Utilization,838.81,22070,8,1839,33.10,31822,Low Income,1,0-2 Years,High Rate
96524,7500,60,131.08,B,Supervisor,3,"40,000.00",Non-Default,PA,12.54,0,12,Medium Utilization,"8,503.21",55811,2,5074,59.70,102795,Low Income,0,3-5 Years,Low Rate
96537,10000,36,343.84,A,Manager,1,"54,600.00",Non-Default,VA,11.82,0,5,High Utilization,"11,345.95",15353,3,3838,82.90,18500,Middle Income,0,0-2 Years,Middle Rate
96545,3050,60,548.29,F,Administrative Assistant,2,"36,000.00",Non-Default,NY,25.17,0,8,High Utilization,"4,335.42",79549,3,9944,98.50,80772,Low Income,0,0-2 Years,Middle Rate
96548,16225,36,280.46,C,Consultant,10,"320,000.00",Default,TX,5.74,0,10,Low Utilization,"8,348.24",469350,6,46935,33.70,509505,High Income,1,6-10 Years,Middle Rate
96637,4750,36,234.65,B,Pharmacist,1,"157,000.00",Default,CT,13.03,1,19,High Utilization,"3,977.42",1129196,8,59431,84.70,1378027,High Income,1,0-2 Years,Low Rate
96656,30000,36,989.71,B,Wildlife Biologist,6,"86,000.00",Non-Default,VA,17.81,0,8,High Utilization,"33,008.37",297065,1,37133,80.90,332939,Middle Income,0,6-10 Years,High Rate
96732,15000,36,77.75,B,Mail Handler,2,"56,000.00",Non-Default,NC,22.97,0,10,Medium Utilization,"13,169.96",164175,5,18242,57.00,198684,Middle Income,0,0-2 Years,Low Rate
96739,27050,60,618.64,B,Transportation Engineer,10,"54,200.00",Non-Default,MA,26.49,0,11,High Utilization,"31,043.66",47951,2,4359,81.60,84470,Middle Income,0,6-10 Years,High Rate
96835,30000,36,240.92,D,Accountant Iii,6,"62,775.00",Non-Default,IL,9.58,0,6,Low Utilization,"34,993.05",171653,1,34331,27.50,188732,Middle Income,0,6-10 Years,Low Rate
96871,19200,36,852.20,A,Event Mgr,1,"60,000.00",Non-Default,SC,20.63,0,7,Low Utilization,"21,037.01",28738,1,4105,28.10,120027,Middle Income,0,0-2 Years,High Rate
96900,15625,36,285.42,D,Registered Nurse,Unknown,"39,321.00",Non-Default,TX,21.7,0,4,Medium Utilization,"19,857.67",51748,1,12937,56.00,44689,Low Income,0,10+ Years,Middle Rate
97025,18000,36,236.07,A,Captain,10,"52,000.00",Non-Default,FL,3.32,0,3,Low Utilization,"19,562.53",4301,1,1434,17.50,24600,Middle Income,0,6-10 Years,Low Rate
97127,11000,60,191.28,B,Senior Sales Manager,10,"90,000.00",Non-Default,MA,11.71,3,13,Medium Utilization,"12,568.90",81914,2,6826,60.20,93611,Middle Income,0,6-10 Years,Low Rate
97133,26000,36,372.71,C,Management Consultant,10,"200,000.00",Non-Default,GA,12.31,1,11,Low Utilization,"32,412.59",505896,5,45991,12.20,601965,High Income,0,6-10 Years,Middle Rate
97178,13200,36,463.22,B,Leasing,2,"48,000.00",Non-Default,MD,20.4,0,12,Low Utilization,"14,444.79",51407,3,5141,75.60,75064,Middle Income,0,0-2 Years,Middle Rate
97455,2950,36,619.93,D,Bricklayer,1,"35,000.00",Non-Default,NY,24.73,0,14,Medium Utilization,"3,525.00",53229,8,3802,67.50,81589,Low Income,0,0-2 Years,High Rate
97627,3700,36,320.95,D,Administrative Assistant,5,"23,000.00",Non-Default,MO,17.12,0,8,Medium Utilization,"4,748.25",11506,2,1644,60.80,17100,Low Income,0,3-5 Years,Middle Rate
97673,8000,36,858.05,B,Exec Asst,3,"60,000.00",Non-Default,MA,13.2,0,14,Medium Utilization,"9,633.19",218580,6,15613,39.50,257686,Middle Income,0,3-5 Years,High Rate
97710,32100,36,199.03,G,Rn,5,"165,000.00",Default,WA,16.52,1,9,High Utilization,"5,686.16",370204,2,41134,96.00,399347,High Income,1,3-5 Years,Low Rate
97733,25000,36,615.86,B,Associate Buyer,5,"75,000.00",Non-Default,WI,16.82,0,11,High Utilization,"23,182.32",177802,1,17780,65.50,217954,Middle Income,0,3-5 Years,High Rate
97736,10000,36,563.23,A,Optometric Vision Therapist,1,"33,000.00",Non-Default,MI,14.8,0,24,High Utilization,"10,765.44",115511,0,4813,75.60,108654,Low Income,0,0-2 Years,Middle Rate
97851,21000,60,809.33,E,Sr. Network Administrator,5,"90,000.00",Non-Default,FL,19.29,3,12,High Utilization,"23,466.24",157300,4,14300,78.10,212579,Middle Income,0,3-5 Years,High Rate
97859,9350,36,229.91,D,Yard Driver,1,"60,000.00",Non-Default,CA,21.54,0,15,Medium Utilization,"10,895.48",20705,10,1380,68.00,40143,Middle Income,0,0-2 Years,Low Rate
97902,10225,36,129.05,E,Supervisor,10,"28,560.00",Default,NY,8.4,1,12,Medium Utilization,"9,980.85",58921,4,4910,60.80,85755,Low Income,1,6-10 Years,Low Rate
97919,4500,60,576.85,A,Rn,10,"92,000.00",Non-Default,OR,20.61,0,15,Medium Utilization,"4,757.26",195764,6,13983,34.50,262118,High Income,0,6-10 Years,Middle Rate
97950,25000,36,625.72,C,Broker,5,"100,000.00",Non-Default,CA,9.06,0,8,High Utilization,"30,617.58",351432,1,50205,95.70,377741,High Income,0,3-5 Years,High Rate
97985,33000,36,517.98,C,Manager,10,"73,680.00",Non-Default,TX,15.42,2,12,High Utilization,"41,124.77",166664,1,18518,75.10,180234,Middle Income,0,6-10 Years,Middle Rate
98129,10325,36,226.37,D,Truck Driver,1,"52,000.00",Default,VT,17.59,0,10,Medium Utilization,"3,808.68",139094,7,13909,65.60,152801,Middle Income,1,0-2 Years,Low Rate
98220,14325,60,344.15,E,Call Center Associate Ii,3,"40,000.00",Non-Default,VA,24,0,14,Medium Utilization,"21,601.77",19569,9,1505,54.10,30342,Low Income,0,3-5 Years,Middle Rate
98276,29000,36,893.35,D,Flight Attendant,4,"92,000.00",Default,GA,15.57,0,19,Medium Utilization,"13,970.45",134671,8,10359,74.30,179675,High Income,1,3-5 Years,High Rate
98317,13000,36,68.03,E,Budget Manager,10,"111,072.00",Non-Default,OR,20.49,0,19,High Utilization,"17,909.40",251290,9,13226,93.20,278288,High Income,0,6-10 Years,Low Rate
98344,7000,36,193.85,C,Registered Nurse,10,"65,000.00",Non-Default,AL,29.62,0,14,Low Utilization,"7,627.34",43898,12,3377,13.10,94350,Middle Income,0,6-10 Years,Low Rate
98384,4000,36,520.40,B,Maintenance Worker 3,1,"68,000.00",Non-Default,WA,13.96,0,8,High Utilization,"4,639.22",309196,4,38649,62.00,341400,Middle Income,0,0-2 Years,Middle Rate
98464,5200,36,528.35,A,Teacher,3,"39,000.00",Non-Default,AR,17.42,0,7,Low Utilization,"5,589.41",96114,1,13731,47.70,135038,Low Income,0,3-5 Years,Middle Rate
98719,12000,36,66.71,A,Letter Carrier,10,"58,000.00",Non-Default,NY,22.26,0,18,Medium Utilization,"13,362.30",60521,4,3560,29.20,119017,Middle Income,0,6-10 Years,Low Rate
98795,16875,36,689.89,C,Rn,3,"64,000.00",Non-Default,PA,24.22,0,11,High Utilization,"20,756.96",33290,2,3026,80.50,43584,Middle Income,0,3-5 Years,High Rate
98820,20000,36,129.36,C,Heavy Press Operator,2,"46,000.00",Default,MI,16.48,0,7,Medium Utilization,"10,252.09",20035,5,2862,84.40,33092,Low Income,1,0-2 Years,Low Rate
98933,15000,60,433.05,C,Book Keeper,2,"55,142.00",Non-Default,CO,26.07,0,10,High Utilization,"15,012.06",176475,1,17648,95.90,199064,Middle Income,0,0-2 Years,Middle Rate
99018,6000,36,310.33,B,Mathematics Instructor  9-12,10,"88,000.00",Non-Default,CA,16.04,0,13,High Utilization,"6,734.91",23341,7,1945,66.50,31952,Middle Income,0,6-10 Years,Middle Rate
99188,12000,36,391.50,A,Classroom Teacher,10,"67,000.00",Non-Default,OH,19.85,0,9,High Utilization,"13,413.52",142157,11,15795,64.70,179408,Middle Income,0,6-10 Years,Middle Rate
99219,5500,36,694.13,B,Network Analyst,10,"70,000.00",Default,NY,18,1,18,Low Utilization,"4,904.00",47318,8,2957,33.00,77415,Middle Income,1,6-10 Years,High Rate
99362,20000,36,637.58,A,Chief Warrant Officer Three,2,"126,300.00",Non-Default,HI,15.16,0,7,Medium Utilization,"21,583.20",78969,8,11281,54.50,103818,High Income,0,0-2 Years,High Rate
99414,8500,36,659.91,B,Cbpo,5,"90,000.00",Non-Default,VA,9.56,0,9,Medium Utilization,"9,336.83",247089,8,27454,46.40,257234,Middle Income,0,3-5 Years,High Rate
99422,16000,36,961.20,D,Sr. Event Manager,1,"70,000.00",Non-Default,PA,19.74,0,12,High Utilization,"17,693.04",185166,4,15431,66.20,224053,Middle Income,0,0-2 Years,High Rate
99730,20000,36,493.35,C,Lineman,2,"65,000.00",Non-Default,NY,34.24,0,15,High Utilization,"24,256.12",41110,4,2741,87.70,63910,Middle Income,0,0-2 Years,Middle Rate
99762,10000,60,607.50,A,Teacher,1,"42,000.00",Non-Default,OR,27.43,0,20,Medium Utilization,"10,992.99",88775,1,4672,51.80,107082,Low Income,0,0-2 Years,High Rate
99792,12000,36,198.35,B,Government Aviation Specialist,10,"130,000.00",Non-Default,WA,14.8,0,5,High Utilization,"13,771.67",59721,4,11944,87.40,66689,High Income,0,6-10 Years,Low Rate
99823,8900,36,772.67,C,Material Handler,10,"32,000.00",Non-Default,AL,7.31,0,9,Low Utilization,"11,026.86",5158,9,573,0.00,28075,Low Income,0,6-10 Years,High Rate
99830,1600,36,654.68,B,Unknown,2,"15,000.00",Non-Default,OH,16.16,0,6,Medium Utilization,"1,909.65",7129,2,1188,72.70,12400,Low Income,0,0-2 Years,High Rate
99899,4550,36,153.00,C,Mgr. Admin,2,"45,000.00",Non-Default,NJ,15.04,0,13,Medium Utilization,"5,278.50",10793,13,830,55.30,32155,Low Income,0,0-2 Years,Low Rate
99919,12000,36,850.31,B,Program Development Manager,10,"72,000.00",Non-Default,AZ,21.27,0,9,Medium Utilization,"13,969.82",74306,4,8256,55.50,89942,Middle Income,0,6-10 Years,High Rate
99990,19200,36,200.70,A,Commercial Driver,1,"79,000.00",Default,GA,8.61,0,7,Low Utilization,"9,381.78",171095,1,24442,11.00,220369,Middle Income,1,0-2 Years,Low Rate
100021,15000,36,892.61,B,Locksmith,2,"55,000.00",Non-Default,TX,17.46,0,7,Low Utilization,"16,551.46",37404,5,5343,19.80,66083,Middle Income,0,0-2 Years,High Rate
100136,23000,60,296.85,D,District Sales Manager,10,"104,000.00",Non-Default,MD,12.5,0,11,High Utilization,"28,448.11",248529,4,22594,81.00,279378,High Income,0,6-10 Years,Middle Rate
100152,12000,36,163.67,A,Cto,10,"140,000.00",Non-Default,CA,2.27,0,6,Low Utilization,"13,148.14",312442,1,62488,8.70,360416,High Income,0,6-10 Years,Low Rate
100184,24000,36,585.35,A,Teacher,4,"82,000.00",Non-Default,CA,19.16,0,7,High Utilization,"27,288.83",26749,2,4458,124.70,59173,Middle Income,0,3-5 Years,High Rate
100211,15000,36,255.25,A,Service Manager/ Pacs Support,2,"75,000.00",Non-Default,LA,17.1,0,10,Medium Utilization,"17,019.61",136336,4,13634,48.70,164402,Middle Income,0,0-2 Years,Low Rate
100225,19000,36,179.20,C,Closer,1,"90,000.00",Default,TX,22.09,0,12,Medium Utilization,"13,526.96",124907,5,12490,55.00,145041,Middle Income,1,0-2 Years,Low Rate
100232,10000,36,382.55,B,Custodian,1,"40,000.00",Non-Default,HI,20.1,1,10,Low Utilization,"11,167.07",20177,5,2018,22.10,58250,Low Income,0,0-2 Years,Middle Rate
100341,4800,36,164.96,D,Executive Chef,Unknown,"98,000.00",Non-Default,FL,15.25,0,12,High Utilization,"6,099.82",42054,7,3505,95.50,53269,High Income,0,10+ Years,Low Rate
100364,9600,36,369.93,C,Cheese Maker,4,"40,000.00",Non-Default,OR,31.8,0,10,High Utilization,"11,651.95",35401,6,3540,76.50,53689,Low Income,0,3-5 Years,Middle Rate
100457,12000,36,214.69,B,Sr. Manager,10,"187,000.00",Non-Default,CA,5.52,0,15,Low Utilization,"12,814.92",588382,7,39225,0.70,793148,High Income,0,6-10 Years,Low Rate
100466,4500,60,434.75,C,Paraprofessional,10,"35,000.00",Non-Default,NY,16.36,0,12,Medium Utilization,"5,614.92",11011,3,1001,72.00,18489,Low Income,0,6-10 Years,Middle Rate
100491,15000,36,451.73,E,Manager,2,"83,600.00",Non-Default,GA,18.55,0,12,High Utilization,"19,317.73",192135,5,17466,100.00,209324,Middle Income,0,0-2 Years,Middle Rate
100506,12000,36,360.75,B,Avp - It Software Development,10,"125,000.00",Non-Default,OR,13.13,0,12,Medium Utilization,"13,969.82",45231,4,4523,47.10,80100,High Income,0,6-10 Years,Middle Rate
100528,30000,60,240.84,C,Owner,6,"75,000.00",Non-Default,FL,1.2,0,6,Low Utilization,"36,901.33",614,2,102,0.00,20800,Middle Income,0,6-10 Years,Low Rate
100539,26850,36,381.64,G,Electrician/ Miner,1,"84,000.00",Default,PA,21.99,0,16,Medium Utilization,"17,859.83",165301,9,11020,100.70,198335,Middle Income,1,0-2 Years,Middle Rate
100567,19750,36,671.74,D,Operations Manager,10,"55,000.00",Non-Default,AL,36.24,1,16,Low Utilization,"21,824.92",82172,10,6321,28.00,109146,Middle Income,0,6-10 Years,High Rate
100638,18000,60,739.85,A,Lead Analyst,10,"90,000.00",Non-Default,CT,25.65,0,18,Low Utilization,"19,634.11",88165,5,4898,19.40,139751,Middle Income,0,6-10 Years,High Rate
100664,12800,36,166.05,A,Administrative Assistant,2,"62,962.00",Non-Default,VA,26.31,0,14,Low Utilization,"14,097.79",274617,8,19616,27.50,312059,Middle Income,0,0-2 Years,Low Rate
100877,4800,60,223.18,C,Case Worker,Unknown,"45,000.00",Non-Default,NJ,10.58,0,6,Medium Utilization,"5,516.19",21862,3,3644,50.50,30224,Low Income,0,10+ Years,Low Rate
100911,16200,36,602.79,B,Inspector,10,"185,000.00",Default,LA,12.74,0,8,Medium Utilization,"16,956.86",97029,3,12129,54.90,127260,High Income,1,6-10 Years,High Rate
100942,24000,36,146.45,B,Site Sourcing Director,4,"130,000.00",Non-Default,OH,19,2,21,High Utilization,"28,061.10",227668,8,11983,85.40,328557,High Income,0,3-5 Years,Low Rate
100964,10000,36,693.21,D,Owner,1,"115,000.00",Non-Default,PA,13.43,0,8,High Utilization,"12,708.07",304605,2,43515,80.80,340597,High Income,0,0-2 Years,High Rate
101032,24500,36,156.43,B,Owner,1,"185,000.00",Non-Default,WA,7.95,0,10,Medium Utilization,"28,521.77",37310,6,3731,42.00,83434,High Income,0,0-2 Years,Low Rate
101045,6400,36,600.36,D,Machine Operator,8,"30,000.00",Non-Default,NY,20.11,0,8,Medium Utilization,"8,133.13",18647,7,2331,69.70,29111,Low Income,0,6-10 Years,High Rate
101084,34000,60,355.72,C,Sr Financial Analyst,10,"100,000.00",Non-Default,IL,29.2,0,11,Medium Utilization,"38,856.39",382656,1,34787,53.70,476623,High Income,0,6-10 Years,Middle Rate
101101,14000,60,400.24,C,It Business Analyst,1,"78,000.00",Non-Default,FL,17.97,0,20,Medium Utilization,"15,374.85",93947,10,4697,59.90,92710,Middle Income,0,0-2 Years,Middle Rate
101118,35000,60,324.99,A,Senior Software Developer,10,"175,000.00",Non-Default,IL,11.9,0,13,Medium Utilization,"38,237.64",441905,5,36825,68.20,500466,High Income,0,6-10 Years,Middle Rate
101146,25000,36,770.27,D,Executive Director,5,"175,000.00",Non-Default,CA,5.95,0,6,High Utilization,"31,466.07",21371,2,3562,71.70,44288,High Income,0,3-5 Years,High Rate
101163,16000,60,327.34,F,Teacher,1,"72,000.00",Non-Default,IN,15.27,1,24,Low Utilization,"21,127.22",211842,9,8827,40.80,244854,Middle Income,0,0-2 Years,Middle Rate
101192,10000,36,366.93,A,Staff Nurse,1,"130,000.00",Non-Default,CT,8.44,0,9,Low Utilization,"10,370.47",288662,4,36083,31.20,317353,High Income,0,0-2 Years,Middle Rate
101279,15000,36,396.01,A,Manager,2,"50,000.00",Non-Default,NM,20,0,17,Low Utilization,"16,547.99",95848,7,6846,16.20,184003,Middle Income,0,0-2 Years,Middle Rate
